Village_Name,Latitude,Longitude,Elevation_m,Slope_deg,Aspect_deg,Roughness,Curvature,Rainfall_mm,Distance_to_River_km,Label,Point_Type,Rainfall_CHIRPS_mm,Distance_to_Road_km_REAL,Rainfall_3Day_Cumulative_mm,Rainfall_7Day_Cumulative_mm,NDVI_Vegetation
Irshalwadi,18.9339,73.2358,419,6.73,46.59,5.71,-6.0,2804.186324786325,2.987,1,documented_positive,2456.0534674167634,4.049,18.59004497528076,91.07803211212158,0.3437745571136474
Taliye,18.11,73.584,333,29.18,330.59,19.19,10.0,739.7444444444445,1.16,1,documented_positive,1503.5855452537537,1.949,8.938951873779297,60.1575210571289,0.3300824761390686
Dasgaon,18.0984592,73.3294819,25,9.16,334.83,5.14,-3.0,2804.186324786325,2.242,1,documented_positive,2266.3540229558944,1.12,19.325009536743163,121.47200431823732,0.484178364276886
Bhilar (Bhillar),17.913,73.762,1260,5.39,46.59,4.34,2.0,739.7444444444445,1.815,1,documented_positive,1421.529329007864,2.365,11.93136520385742,21.798180961608885,0.2354204356670379
Roha,18.44658,73.1238722,11,2.1,27.86,0.89,-3.0,2804.186324786325,0.326,1,documented_positive,2306.487754678726,0.826,40.43569278717041,133.05210208892822,0.1906624138355255
Harnai,17.8125695,73.0924809,11,0.98,90.0,1.27,-3.0,2804.186324786325,3.441,1,documented_positive,2926.529068684578,1.553,71.5826286315918,190.7464408874512,0.3916750252246856
Mirgaon,17.4252263,73.7478941,721,7.39,41.38,6.14,3.0,739.7444444444445,2.86,1,documented_positive,1671.8805128216743,0.719,18.780722999572752,50.88637428283691,0.3690600395202636
Humbarli (Humberli),17.4122443,73.7362006,848,0.98,90.0,3.35,-1.0,739.7444444444445,1.999,1,documented_positive,1671.8805128216743,0.736,18.780722999572752,50.88637428283691,0.3112516105175018
Jor,17.9807741,73.6796808,831,2.1,332.14,3.06,-3.0,739.7444444444445,0.632,1,documented_positive,1430.7547336637974,2.991,7.530393981933594,23.76404228210449,0.3761776089668274
Sutarwadi (2021 event),18.5151266,73.6558357,635,0.93,180.0,2.16,-3.0,739.7444444444445,2.74,1,documented_positive,1009.8600453972816,0.423,4.898881149291992,32.96188850402832,0.3040047883987427
Kevanale,17.9542804,73.5553121,262,1.96,90.0,7.53,-4.0,739.7444444444445,3.067,1,documented_positive,1754.7738581597805,1.969,18.053613662719727,63.925411224365234,0.279811143875122
Tala,18.2922341,73.1402253,140,1.35,133.41,3.05,-4.0,2804.186324786325,2.369,1,documented_positive,2378.904508423805,0.925,18.19388370513916,113.24952335357666,0.3381235599517822
Wahal,18.9742376,73.0362545,5,5.64,9.99,3.04,1.0,2804.186324786325,3.335,1,documented_positive,2786.840656971932,0.637,31.3730806350708,147.43834552764892,0.0450342297554016
Matheran,18.9901544,73.2700191,782,7.86,83.26,5.49,-3.0,2804.186324786325,1.329,1,documented_positive,2201.952854537964,5.743,9.189061737060548,65.61703186035156,0.7368459701538086
Bhose,17.9270256,73.7584884,1245,13.95,321.59,8.14,5.0,739.7444444444445,2.586,1,documented_positive,1421.529329007864,2.697,11.93136520385742,21.798180961608885,0.1977388858795166
Panchagani,17.9239543,73.7992681,1258,2.95,19.41,2.68,-2.0,739.7444444444445,2.16,1,documented_positive,1421.529329007864,0.287,11.93136520385742,21.798180961608885,0.0849562361836433
Metgutad,17.9243527,73.7013101,1283,10.3,190.88,7.11,3.0,739.7444444444445,3.899,1,documented_positive,1278.9048665642738,0.38,9.915658569335935,22.42593097686768,0.6178517937660217
RandomPoint_1,18.472942,73.815049,565,2.1,332.14,1.33,1.0,739.7444444444445,0.325,0,random_negative_sample,793.2844284713268,0.603,13.872488021850586,27.05615921020508,0.3678034245967865
RandomPoint_2,18.784359,72.930408,13,10.39,69.27,7.85,10.0,2804.186324786325,2.017,0,random_negative_sample,2852.1364342451097,0.239,25.98303508758545,142.85780963897705,0.5252764821052551
RandomPoint_3,17.437276,73.558033,329,17.52,192.55,14.33,-3.0,739.7444444444445,4.144,0,random_negative_sample,2286.584463638067,4.271,29.872369384765623,130.44630966186523,0.6414633989334106
